OBJECTID,LAND,BEZ,LOR,STRASSE,LOR_ab_2021,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,STRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84
208167,11,8,8010211,Flughafenstra�e,8100206,2018,12,17,3,3,2,6,2,1,1,0,0,0,0,0,800588,803,5823767,68
208168,11,2,2010104,Wassertorplatz,2100106,2018,12,18,7,3,5,2,2,0,1,0,0,0,0,1,799063,639,5825597,272
208169,11,1,12103117,Letteplatz,12100101,2018,12,18,7,3,2,6,2,0,1,0,0,0,0,1,796138,5539,5832289,366
208170,11,8,8041037,Alt-Rudow,8401243,2018,12,21,3,3,5,3,2,0,1,0,0,0,0,0,805242,233,5818122,383
208171,11,1,1044101,Rehberge,1400938,2018,12,13,6,3,2,6,1,0,1,0,0,0,0,1,794443,3509,5829904,879
208172,11,1,1011201,Wilhelmstra�e                                                                                       ,1100205,2018,12,21,3,2,6,7,2,1,0,1,0,0,0,0,797140,41,5826446,409
208173,11,12,12231101,Hermsdorf,12400723,2018,12,18,7,2,6,4,2,0,1,1,0,0,0,1,791466,1684,5838798,13
208174,11,3,3061441,Eldenaer Stra�e,3601453,2018,12,15,3,3,6,4,0,0,1,1,0,0,0,0,802832,7751,5828647,347
208175,11,7,7070703,John-Locke-Stra�e                                                                                   ,7601544,2018,12,14,3,3,5,7,0,0,1,0,0,0,0,1,798896,8811,5814356,476
208176,11,12,12224230,Heiligensee,12400618,2018,12,17,4,3,0,3,2,0,1,0,0,0,1,1,786798,3427,5838465,223
208177,11,12,12214125,Waldidyll/Flughafensee,12200412,2018,12,16,7,3,6,2,1,0,1,1,0,0,0,1,790965,9907,5833830,214
208178,11,12,12301204,Wittenau Nord                                                                                       ,12500927,2018,12,14,3,3,5,3,0,0,1,0,0,0,0,1,792773,8497,5836360,752
208179,11,9,9030901,Dorf Altglienicke,9300920,2018,12,13,7,3,2,2,0,1,1,0,0,0,0,0,808578,7364,5817508,592
208180,11,8,8010510,Gewerbegebiet K�llnische Heide,8100521,2018,12,18,6,3,2,6,2,0,1,0,0,0,0,1,802710,615,5822115,331
208181,11,7,7030301,Friedenau,7300517,2018,12,14,3,2,5,2,0,0,1,0,1,0,0,0,794395,7853,5822312,919
208182,11,5,5010314,Carl-Schurz-Stra�e                                                                                  ,5100316,2018,12,7,7,3,2,6,2,0,1,0,0,0,0,1,785127,993,5828973,339
208183,11,8,8020622,Parchimer Allee,8200727,2018,12,14,3,3,2,6,0,0,1,0,0,0,0,1,802529,284,5818985,666
208184,11,4,4020310,Park Ruhwald,4200308,2018,12,16,6,3,6,2,2,0,1,1,0,0,0,1,790342,771,5827318,249
208185,11,7,7010101,Wittenbergplatz/Viktoria-Luise-Platz,7100101,2018,12,14,7,3,1,6,0,1,1,0,0,0,1,1,794490,2091,5825832,13
208186,11,6,6020408,Lichterfelde S�d                                                                                    ,6200420,2018,12,14,3,3,5,3,0,1,0,0,0,0,1,1,792570,931,5815896,666
208187,11,2,2020202,Rathaus Yorckstra�e,2200208,2018,12,12,3,3,5,2,0,1,1,0,0,0,0,0,797267,2239,5825380,554
208188,11,9,9020802,K�llnische Vorstadt                                                                                 ,9200819,2018,12,13,7,2,6,4,0,0,0,1,0,0,1,0,810366,7182,5820336,602
208189,11,3,3061126,Arnimplatz,3601141,2018,12,11,3,3,2,1,0,0,1,0,0,0,0,0,799242,643,5831771,584
208190,11,9,9020701,Adlershof West,9200715,2018,12,11,3,3,1,5,0,0,1,0,0,0,0,0,808158,6275,5819659,579
208191,11,7,7010102,Nollendorfplatz,7100102,2018,12,9,7,2,8,1,0,0,1,0,0,0,0,1,795539,2992,5825278,934
