OBJECTID,LAND,BEZ,LOR,STRASSE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,USTRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84
192077,11,10,10010102,Havemannstra�e,2019,2,12,6,3,5,3,0,0,1,0,0,0,0,0,809450,448,5834612,146
192078,11,4,4020311,Reichsstra�e,2019,2,13,4,3,5,3,0,0,1,0,0,0,0,0,789992,273,5826317,665
192079,11,11,11010206,Wartenberg S�d,2019,2,9,6,2,5,3,0,0,1,0,0,0,0,0,805694,8833,5834155,697
192080,11,11,11030619,Fennpfuhl Ost,2019,2,14,6,3,0,7,0,0,0,0,0,0,1,0,803669,9137,5829506,621
192081,11,11,11020412,Hauptstra�e,2019,2,15,4,3,5,3,0,0,1,0,0,0,0,1,805870,3633,5831421,101
192082,11,2,2050802,Boxhagener Platz,2019,2,23,6,3,6,7,2,0,1,1,0,0,0,0,802390,3024,5826832,824
192083,11,4,4041134,Bismarckallee,2019,2,9,6,3,0,6,0,0,1,0,0,0,0,0,790838,3904,5824734,273
192084,11,10,10010309,Springpfuhl,2019,2,5,6,3,6,4,2,0,1,1,0,0,0,0,808256,5308,5829821,659
192085,11,11,11030720,Herzbergstra�e,2019,2,15,4,2,3,6,0,0,1,0,1,0,0,1,804646,8625,5829931,815
192086,11,4,4030931,Breitscheidplatz,2019,2,15,6,2,5,2,0,0,1,0,1,0,0,0,794464,3962,5825853,144
192087,11,6,6010206,Stadtpark,2019,2,17,6,3,5,2,1,0,1,0,0,0,0,0,795052,7897,5819615,413
192088,11,1,1011202,Unter den Linden Nord,2019,2,18,6,3,6,4,1,0,1,1,0,0,0,0,797686,6893,5827897,219
192089,11,1,1044201,Reinickendorfer Stra�e,2019,2,21,5,2,5,2,2,1,0,0,0,1,0,0,796661,2191,5831953,422
192090,11,6,6040809,Thielallee,2019,2,2,6,2,5,3,2,0,1,0,0,0,0,1,791708,149,5819371,451
192091,11,11,11010207,Wartenberg Nord,2019,2,5,6,3,5,3,2,0,1,0,0,0,0,0,805138,7654,5834437,672
192092,11,3,3040512,Wilhelmsruh,2019,2,5,6,3,2,6,2,0,1,0,0,0,0,0,795912,5219,5835398,819
192093,11,1,1044103,Westliche M�llerstra�e,2019,2,15,4,3,5,3,0,0,1,0,1,0,0,1,794901,4863,5830562,886
192094,11,3,3061430,Volkspark Prenzlauer Berg,2019,2,8,6,3,2,6,0,0,1,0,0,0,1,0,801729,8184,5830075,731
192095,11,4,4030929,Hindemithplatz,2019,2,9,6,2,1,5,0,1,0,0,0,0,1,1,792526,6922,5825417,873
192096,11,3,3020307,Buchholz,2019,2,11,6,3,0,2,0,0,1,0,0,0,1,0,799675,9043,5837846,604
192097,11,8,8010213,K�rnerpark,2019,2,11,6,3,5,3,0,0,1,0,0,0,0,0,801482,1442,5823005,501
192098,11,9,9041601,M�ggelheim,2019,2,11,6,3,4,2,0,0,1,0,0,0,0,0,816663,4856,5817388,768
192099,11,2,2040701,Andreasviertel,2019,2,16,5,3,5,2,0,1,1,0,0,0,0,0,800601,7044,5827103,871
192100,11,3,3020307,Buchholz,2019,2,13,6,2,6,4,0,0,1,1,0,0,0,0,800171,622,5836458,527
192101,11,5,5030730,Zitadellenweg,2019,2,14,6,3,2,6,0,0,1,0,0,0,0,0,786442,9563,5831148,428
192102,11,2,2020206,Graefekiez,2019,2,14,6,3,2,6,0,0,1,0,0,0,0,0,800290,9119,5824374,709
192103,11,12,12224230,Heiligensee,2019,2,14,6,3,5,3,0,0,1,0,0,0,0,0,785498,3705,5837389,229
192104,11,1,1011402,Arkonaplatz,2019,2,20,5,3,6,7,2,1,0,1,0,0,0,0,798456,4012,5829967,81
192105,11,7,7020202,Volkspark (Rudolf-Wilde-Park),2019,2,15,6,3,1,5,0,1,1,0,0,0,0,0,794502,3743,5823360,7
192106,11,6,6020410,Oberhofer Platz,2019,2,5,6,2,9,1,1,0,1,0,0,0,0,1,794277,8231,5817024,861
192107,11,12,12304314,Ziekowstra�e/Freie Scholle,2019,2,20,5,2,9,1,2,0,1,0,0,0,0,1,791386,3522,5835546,474
192108,11,10,10020412,Alte Hellersdorfer Stra�e,2019,2,15,4,3,2,6,0,0,1,0,0,0,1,0,810920,3055,5832040,272
192109,11,1,1011306,Heine-Viertel Ost,2019,2,5,5,3,5,3,2,0,1,0,1,0,0,0,799474,4742,5826560,96
192110,11,3,3010102,Buch,2019,2,10,5,3,5,2,0,0,1,0,0,0,0,0,804491,6526,5840922,707
192111,11,6,6030503,Zehlendorf Mitte,2019,2,10,5,3,2,2,0,0,1,0,0,0,0,0,790494,2411,5818071,46
192112,11,9,9031101,Gr�nau,2019,2,11,5,3,2,7,0,0,1,0,0,0,1,0,810408,6229,5818200,933
